Time,Kp_code,Dst_nT,PlotTime,Kp
2024-12-31T00:30:00Z,3,6,2024-12-31T00:00:00Z,0.3333333333333333
2024-12-31T01:30:00Z,3,6,2024-12-31T01:00:00Z,0.3333333333333333
2024-12-31T02:30:00Z,3,3,2024-12-31T02:00:00Z,0.3333333333333333
2024-12-31T03:30:00Z,7,0,2024-12-31T03:00:00Z,0.6666666666666666
2024-12-31T04:30:00Z,7,3,2024-12-31T04:00:00Z,0.6666666666666666
2024-12-31T05:30:00Z,7,3,2024-12-31T05:00:00Z,0.6666666666666666
2024-12-31T06:30:00Z,17,-1,2024-12-31T06:00:00Z,1.6666666666666665
2024-12-31T07:30:00Z,17,-6,2024-12-31T07:00:00Z,1.6666666666666665
2024-12-31T08:30:00Z,17,-5,2024-12-31T08:00:00Z,1.6666666666666665
2024-12-31T09:30:00Z,13,-7,2024-12-31T09:00:00Z,1.3333333333333333
2024-12-31T10:30:00Z,13,-10,2024-12-31T10:00:00Z,1.3333333333333333
2024-12-31T11:30:00Z,13,-8,2024-12-31T11:00:00Z,1.3333333333333333
2024-12-31T12:30:00Z,13,-9,2024-12-31T12:00:00Z,1.3333333333333333
2024-12-31T13:30:00Z,13,-7,2024-12-31T13:00:00Z,1.3333333333333333
2024-12-31T14:30:00Z,13,-4,2024-12-31T14:00:00Z,1.3333333333333333
2024-12-31T15:30:00Z,40,-3,2024-12-31T15:00:00Z,4.0
2024-12-31T16:30:00Z,40,14,2024-12-31T16:00:00Z,4.0
2024-12-31T17:30:00Z,40,17,2024-12-31T17:00:00Z,4.0
2024-12-31T18:30:00Z,40,14,2024-12-31T18:00:00Z,4.0
2024-12-31T19:30:00Z,40,7,2024-12-31T19:00:00Z,4.0
2024-12-31T20:30:00Z,40,-6,2024-12-31T20:00:00Z,4.0
2024-12-31T21:30:00Z,40,-18,2024-12-31T21:00:00Z,4.0
2024-12-31T22:30:00Z,40,-23,2024-12-31T22:00:00Z,4.0
2024-12-31T23:30:00Z,40,-22,2024-12-31T23:00:00Z,4.0
2025-01-01T00:30:00Z,40,-26,2025-01-01T00:00:00Z,4.0
2025-01-01T01:30:00Z,40,-30,2025-01-01T01:00:00Z,4.0
2025-01-01T02:30:00Z,40,-30,2025-01-01T02:00:00Z,4.0
2025-01-01T03:30:00Z,53,-29,2025-01-01T03:00:00Z,5.333333333333333
2025-01-01T04:30:00Z,53,-22,2025-01-01T04:00:00Z,5.333333333333333
2025-01-01T05:30:00Z,53,-34,2025-01-01T05:00:00Z,5.333333333333333
2025-01-01T06:30:00Z,50,-41,2025-01-01T06:00:00Z,5.0
2025-01-01T07:30:00Z,50,-31,2025-01-01T07:00:00Z,5.0
2025-01-01T08:30:00Z,50,-24,2025-01-01T08:00:00Z,5.0
2025-01-01T09:30:00Z,60,-52,2025-01-01T09:00:00Z,6.0
2025-01-01T10:30:00Z,60,-78,2025-01-01T10:00:00Z,6.0
2025-01-01T11:30:00Z,60,-79,2025-01-01T11:00:00Z,6.0
2025-01-01T12:30:00Z,67,-119,2025-01-01T12:00:00Z,6.666666666666667
2025-01-01T13:30:00Z,67,-158,2025-01-01T13:00:00Z,6.666666666666667
2025-01-01T14:30:00Z,67,-199,2025-01-01T14:00:00Z,6.666666666666667
2025-01-01T15:30:00Z,80,-212,2025-01-01T15:00:00Z,8.0
2025-01-01T16:30:00Z,80,-212,2025-01-01T16:00:00Z,8.0
2025-01-01T17:30:00Z,80,-190,2025-01-01T17:00:00Z,8.0
2025-01-01T18:30:00Z,63,-156,2025-01-01T18:00:00Z,6.333333333333333
2025-01-01T19:30:00Z,63,-136,2025-01-01T19:00:00Z,6.333333333333333
2025-01-01T20:30:00Z,63,-133,2025-01-01T20:00:00Z,6.333333333333333
2025-01-01T21:30:00Z,40,-148,2025-01-01T21:00:00Z,4.0
2025-01-01T22:30:00Z,40,-148,2025-01-01T22:00:00Z,4.0
2025-01-01T23:30:00Z,40,-138,2025-01-01T23:00:00Z,4.0
2025-01-02T00:30:00Z,33,-128,2025-01-02T00:00:00Z,3.3333333333333335
2025-01-02T01:30:00Z,33,-114,2025-01-02T01:00:00Z,3.3333333333333335
2025-01-02T02:30:00Z,33,-116,2025-01-02T02:00:00Z,3.3333333333333335
2025-01-02T03:30:00Z,20,-110,2025-01-02T03:00:00Z,2.0
2025-01-02T04:30:00Z,20,-104,2025-01-02T04:00:00Z,2.0
2025-01-02T05:30:00Z,20,-99,2025-01-02T05:00:00Z,2.0
2025-01-02T06:30:00Z,33,-98,2025-01-02T06:00:00Z,3.3333333333333335
2025-01-02T07:30:00Z,33,-93,2025-01-02T07:00:00Z,3.3333333333333335
